"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1368226900238286849","https://twitter.com/paulapivat/status/1368226900238286849","What are some applications of Text Mining?

Here's an example featuring Thai food 🇹🇭🧵👇😋

#rstats #tidytext","2021-03-06 15:48 +0000","247.0","30.0","0.1214574898785425","1.0","1.0","1.0","2.0","0.0","0.0","25.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368215936369487875","https://twitter.com/paulapivat/status/1368215936369487875","Day 60:

Text Mining and Thai Food

#ship30for30 

https://t.co/Hp1zMLRPjx","2021-03-06 15:04 +0000","137.0","51.0","0.3722627737226277","0.0","1.0","1.0","0.0","0.0","0.0","49.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368215737748267013","https://twitter.com/paulapivat/status/1368215737748267013","Charts📊

1. ☝️Frequency of Word in Thai Cuisine

2. 👇Frequency in Individual vs Shared dishes
3.      Important words across sub-groupings
4.      Network of Relationship between words https://t.co/iIhIq12z1A","2021-03-06 15:03 +0000","87.0","6.0","0.06896551724137931","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368215731041529858","https://twitter.com/paulapivat/status/1368215731041529858","What does Text Mining have to do with Thai Food? 🇹🇭🍛

Read on😋 👇 https://t.co/p2c0rbnEHX","2021-03-06 15:03 +0000","307.0","29.0","0.09446254071661238","1.0","1.0","1.0","4.0","0.0","0.0","11.0","0.0","0","0","0","0","0","11","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368102476352659458","https://twitter.com/paulapivat/status/1368102476352659458","@j8son_ way to go man, glad you squeezed one in! 🔥🦵","2021-03-06 07:33 +0000","27.0","1.0","0.037037037037037035","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367878477681020933","https://twitter.com/paulapivat/status/1367878477681020933","Day 5/

100 pushups
25 pullups
2 mi walk

Warm-up: 20 sets in 19.30 mins
4 Burpees
6 Air squats
8 Sit-ups

cc: @j8son_ https://t.co/nUgDOijONG","2021-03-05 16:43 +0000","237.0","8.0","0.03375527426160337","0.0","2.0","2.0","0.0","0.0","0.0","3.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367820231226265600","https://twitter.com/paulapivat/status/1367820231226265600","@jtleek @heyhey Thanks for sharing. I noticed a subscription box below. Just wonder if Hey is email + blog + newsletter?","2021-03-05 12:52 +0000","121.0","5.0","0.04132231404958678","0.0","1.0","0.0","1.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367818373078216705","https://twitter.com/paulapivat/status/1367818373078216705","@balajis How would you distinguish this from Namebase?","2021-03-05 12:44 +0000","446.0","4.0","0.008968609865470852","0.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367814994927046656","https://twitter.com/paulapivat/status/1367814994927046656","@theJomapi Great piece Johan! 
Not sure how u feel about the hype, but have NFTs crossed ur mind at all? I’m seeing more and more artist gravitate there..","2021-03-05 12:31 +0000","71.0","4.0","0.056338028169014086","0.0","1.0","2.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367814005612417025","https://twitter.com/paulapivat/status/1367814005612417025","@suthep67 I love that you’re writing about Thailand’s supernatural side!","2021-03-05 12:27 +0000","64.0","3.0","0.046875","0.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
